"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)"

"1","nm0002545","Wed Oct  6 02:39:02 2010","Mon Jul 16 16:03:51 2012","[green]Greats:[/green] [link=tt0034240] (1941)✍; [link=tt0033804] (1941)✍; [link=tt0037077] (1944)✍; [link=tt0036891] (1944)✍; [link=tt0040919] (1948)✍

[orange]Give It a Shot:[/orange] [link=tt0035169] (1942)✍

[b]Other Notable Screenplay(s):[/b] [link=tt0032338] (1940); [link=tt0032554] (1940)✎; [link=tt0036880] (1944); [link=tt0039825] (1947)","Preston Sturges","Writer, <a href=""http://www.imdb.com/title/tt0034240/"">Sullivan's Travels</a>","1898-08-29"

"2","nm0000095","Thu Oct  7 03:31:30 2010","Thu Aug 23 10:48:40 2012","[green]Greats:[/green] [link=tt0075686] (1977)✍; [link=tt0079522] (1979)✍; [link=tt0087003] (1984)✍; [link=tt0091167] (1986)✍; [link=tt0097123] (1989)✍

[orange]Give It a Shot:[/orange] [link=tt0093818] (1987)✍; [link=tt0113819] (1995)✍; [link=tt0118954] (1997)✍; [link=tt1605783] (2011)✍

[b]Other Notable Screenplay(s):[/b] [link=tt0077742] (1978)✎; [link=tt0086637] (1983); [link=tt0089853] (1985)✎; [link=tt0099012] (1990)✎; [link=tt0104466] (1992)✎; [link=tt0109348] (1994)✎; [link=tt0416320] (2005)✎","Woody Allen","Writer, <a href=""http://www.imdb.com/title/tt1605783/"">Midnight in Paris</a>","1935-12-01"

"3","nm0000041","Wed Oct  6 02:39:12 2010","Thu Aug 23 11:06:10 2012","[green]Greats:[/green] [link=tt0047478]Seven Samurai[/link] 
[link=tt0042876]Rashomon[/link]
 [link=tt0044741];
[link=tt0055630]Yojimbo[/link];
[link=tt0056443]Sanjuro[/link];
[link=tt0089881];

[b]Notable Screenplays:[/b] [link=tt0057565]High and Low[/link]; [link=tt0050613]Throne of Blood[/link]; [link=tt0051808]The Hidden Fortress[/link]; [link=tt0058888]Red Beard[/link]; [link=tt0080979]; [link=tt0071411]Dersu Uzala[/link]; [link=tt0041699]Stray Dog[/link]; [link=tt0040979]Drunken Angel[/link]","Akira Kurosawa","Writer, <a href=""http://www.imdb.com/title/tt0055630/"">Yojimbo</a>","1910-03-23"

"4","nm0000122","Sun Jan 30 21:05:59 2011","Thu Aug 23 11:02:57 2012","The Kid (1921); The Gold Rush (1925); Modern Times; City Lights; The Great Dictator

[b]Other Notable Screenplay(s):[/b]","Charles Chaplin","Writer, <a href=""http://www.imdb.com/title/tt0027977/"">Modern Times</a>","1889-04-16"

"5","nm0000697","Thu Oct  7 03:38:32 2010","Sat Aug 13 06:22:25 2011","[b]Notable Screenplays:[/b]","Billy Wilder","Writer, <a href=""http://www.imdb.com/title/tt0053291/"">Some Like It Hot</a>","1906-06-22"

"6","nm0001707","Wed Oct  6 02:38:48 2010","Sun Jul 15 09:06:17 2012","[b]Notable Screenplays:[/b] Taxi Driver (1976)✍; Raging Bull (1980)✍","Paul Schrader","Writer, <a href=""http://www.imdb.com/title/tt0075314/"">Taxi Driver</a>","1946-07-22"

"7","nm0800319","Sat Aug 13 06:20:56 2011","Sat Aug 13 06:22:50 2011","[b]Notable Screenplays:[/b] The Odd Couple; The Goodbye Girl","Neil Simon","Writer, <a href=""http://www.imdb.com/title/tt0063374/"">The Odd Couple</a>","1927-07-04"

"8","nm0000338","Thu Oct  7 03:37:06 2010","Thu Aug 23 11:02:05 2012","[green]Greats:[/green] Patton (1970)✍; The Godfather (1972)✍; The Godfather: Part II (1974)✍ The Conversation (1974)✍; The Godfather: Part III (1990)

[b]Other Notable Screenplay(s):[/b]","Francis Ford Coppola","Producer, <a href=""http://www.imdb.com/title/tt0071562/"">The Godfather: Part II</a>","1939-04-07"

